ID,Heart Rate,Blood Oxygen,Time,Latitude,Longitude
12:00:00 AM,62,0.95,8:00:00,45.06702781,7.656557681
1:00:00 AM,89,0.97,,,
2:00:00 AM,60,0.91,,,
3:00:00 AM,94,0.92,,,
4:00:00 AM,77,0.94,,,
5:00:00 AM,81,0.93,,,
6:00:00 AM,68,0.96,,,
7:00:00 AM,101,0.98,,,
8:00:00 AM,72,0.91,,,
9:00:00 AM,65,0.99,,,
10:00:00 AM,60,0.92,,,
11:00:00 AM,98,0.95,,,
12:00:00 PM,85,0.91,,,
1:00:00 PM,70,0.97,,,
2:00:00 PM,66,0.94,,,
3:00:00 PM,62,0.92,,,
4:00:00 PM,100,0.93,,,
5:00:00 PM,71,0.9,,,
6:00:00 PM,94,0.96,,,
7:00:00 PM,69,0.98,8:20:00,45.06641824,7.657721613
8:00:00 PM,88,0.91,,,
9:00:00 PM,101,1,,,
10:00:00 PM,75,0.87,,,
11:00:00 PM,78,0.95,,,
12:00:00 AM,61,0.9,,,
1:00:00 AM,70,0.98,,,
2:00:00 AM,68,0.94,,,
3:00:00 AM,96,0.92,,,
4:00:00 AM,63,0.91,,,
5:00:00 AM,55,0.93,,,
6:00:00 AM,87,0.96,,,
7:00:00 AM,60,0.9,,,
8:00:00 AM,78,0.97,,,
9:00:00 AM,80,0.99,,,
10:00:00 AM,66,0.91,,,
11:00:00 AM,102,0.92,,,
12:00:00 PM,75,0.95,,,
1:00:00 PM,92,0.93,,,
2:00:00 PM,77,0.91,,,
3:00:00 PM,70,0.98,8:40:00,45.0668142,7.658930264
4:00:00 PM,63,0.9,,,
5:00:00 PM,97,0.96,,,
6:00:00 PM,100,0.94,,,
7:00:00 PM,73,0.97,,,
8:00:00 PM,69,1,,,
9:00:00 PM,64,0.91,,,
10:00:00 PM,89,0.86,,,
11:00:00 PM,68,0.95,,,
12:00:00 AM,78,0.92,,,
1:00:00 AM,72,0.9,,,
2:00:00 AM,95,0.96,,,
3:00:00 AM,85,0.93,,,
4:00:00 AM,69,0.91,,,
5:00:00 AM,102,0.98,,,
6:00:00 AM,71,0.94,,,
7:00:00 AM,61,0.92,,,
8:00:00 AM,91,0.97,,,
9:00:00 AM,74,0.99,,,
10:00:00 AM,66,0.91,,,
